"Submitting country","Film title used in nomination","Original title","Language(s)","Director(s)","Result","Result [6]","Title used in nomination","Ceremony"
"Brazil","Babenco: Tell Me When I Die[30]","Babenco: Alguém Tem que Ouvir o Coração e Dizer Parou","Portuguese","Bárbara Paz","Not nominated",NA,NA,"/w"
"Bulgaria","The Father[31]","Бащата (Bashtata)","Bulgarian","Kristina Grozeva and Petar Valchanov","Not nominated",NA,NA,"/w"
"Cambodia","Fathers[32]","ដើម្បីកូន","Khmer","Huy Yaleng","Not nominated",NA,NA,"/w"
"Cameroon","The Fisherman's Diary[33]","The Fisherman's Diary","Cameroonian Pidgin English, English","Enah Johnscot","Not nominated",NA,NA,"/w"
"Canada","14 Days, 12 Nights[34]","14 jours, 12 nuits","French","Jean-Philippe Duval","Not nominated",NA,NA,"/w"
"Chile","The Mole Agent[35]","El agente topo","Spanish","Maite Alberdi","Made shortlist[11]",NA,NA,"/w"
"China","Leap[36]","夺冠 (Duóguàn)","Mandarin","Peter Chan","Not nominated",NA,NA,"/w"
"Colombia","Forgotten We'll Be[37]","El olvido que seremos","Spanish","Fernando Trueba","Not nominated",NA,NA,"/w"
"Costa Rica","Land of Ashes[38]","Ceniza Negra","Spanish","Sofía Quirós Ubeda","Not nominated",NA,NA,"/w"
"Croatia","Extracurricular[39]","Dopunska nastava","Croatian","Ivan-Goran Vitez","Not nominated",NA,NA,"/w"
"Cuba","Buscando a Casal[40]","Buscando a Casal","Spanish","Jorge Luis Sánchez","Not nominated",NA,NA,"/w"
"Czech Republic","Charlatan[41]","Šarlatán","Czech","Agnieszka Holland","Made shortlist[11]",NA,NA,"/w"
"Denmark","Another Round[42]","Druk","Danish","Thomas Vinterberg","Won Academy Award[43]",NA,NA,"/w"
"Dominican Republic","A State of Madness[44]","Mis 500 Locos","Spanish","Leticia Tonos","Not nominated",NA,NA,"/w"
"Ecuador","Emptiness[45]","Vacío","Mandarin, Spanish","Paul Venegas","Not nominated",NA,NA,"/w"
"Egypt","When We're Born[46]","لما بنتولد","Arabic","Tamer Ezzat","Not nominated",NA,NA,"/w"
"Estonia","The Last Ones[47]","Viimased","Finnish","Veiko Õunpuu","Not nominated",NA,NA,"/w"
"Finland","Tove[48]","Tove","English, Finnish, French, Swedish","Zaida Bergroth","Not nominated",NA,NA,"/w"
"France","Two of Us[49]","Deux","French, German","Filippo Meneghetti","Made shortlist[11]",NA,NA,"/w"
"Georgia","Beginning[50]","დასაწყისი (Dasatskisi)","Georgian","Dea Kulumbegashvili","Not nominated",NA,NA,"/w"
"Germany","And Tomorrow the Entire World[51]","Und morgen die ganze Welt","German","Julia von Heinz","Not nominated",NA,NA,"/w"
"Greece","Apples[52]","Μήλα (Mila)","Greek","Christos Nikou","Not nominated",NA,NA,"/w"
"Guatemala","La Llorona[53]","La Llorona","Kaqchikel, Spanish","Jayro Bustamante","Made shortlist[11]",NA,NA,"/w"
"Honduras","Days of Light[6]","Días de luz","Spanish","Six different directors[n 2]","Not nominated",NA,NA,"/w"
"Hong Kong","Better Days[54]","少年的你 (Shàoniándēnǐ)","Mandarin","Derek Tsang","Nominated[14]",NA,NA,"/w"
"Hungary","Preparations to Be Together for an Unknown Period of Time[55]","Felkészülés meghatározatlan ideig tartó együttlétre","Hungarian","Lili Horvát","Not nominated",NA,NA,"/w"
"Iceland","Agnes Joy[56]","Agnes Joy","Icelandic","Silja Hauksdóttir","Not nominated",NA,NA,"/w"
"India","Jallikattu[57]","ജെല്ലിക്കെട്ട്","Malayalam","Lijo Jose Pellissery","Not nominated",NA,NA,"/w"
"Indonesia","Impetigore[58]","Perempuan Tanah Jahanam","Indonesian, Javanese","Joko Anwar","Not nominated",NA,NA,"/w"
"Iran","Sun Children[59]","خورشید (Khōrshīd)","Persian","Majid Majidi","Made shortlist[11]",NA,NA,"/w"
"Ireland","Arracht[60]","Arracht","Irish","Tom Sullivan","Not nominated",NA,NA,"/w"
"Israel","Asia[61]","אסיה (Asia)","Hebrew, Russian","Ruthy Pribar","Not nominated",NA,NA,"/w"
"Italy","Notturno[62]","Notturno","Arabic, Kurdish","Gianfranco Rosi","Not nominated",NA,NA,"/w"
"Ivory Coast","Night of the Kings[63]","La Nuit des rois","Dyula, French","Philippe Lacôte","Made shortlist[11]",NA,NA,"/w"
"Japan","True Mothers[64]","朝が来る (Asa ga Kuru)","Japanese","Naomi Kawase","Not nominated",NA,NA,"/w"
"Jordan","200 Meters[65]","200 Meters","Arabic, Hebrew","Ameen Nayfeh","Not nominated",NA,NA,"/w"
"Kazakhstan","The Crying Steppe[66]","Ұлы дала зары","Kazakh, Russian","Marina Kunarova","Not nominated",NA,NA,"/w"
"Kenya","The Letter[67]","Barua","Swahili","Maia Lekow and Chris King","Not nominated",NA,NA,"/w"
"Kosovo","Exile[68]","Exil","Albanian, German","Visar Morina","Not nominated",NA,NA,"/w"
"Kyrgyzstan","Running to the Sky[69]","Жөө Күлүк (Jo Kuluk)","Kyrgyz","Mirlan Abdykalykov","Not nominated",NA,NA,"/w"
"Latvia","Blizzard of Souls[70]","Dvēseļu putenis","Estonian, German, Latvian, Russian","Dzintars Dreibergs","Not nominated",NA,NA,"/w"
"Lebanon","Broken Keys[71]","مفاتيح مكسرة","Arabic","Jimmy Keyrouz","Not nominated",NA,NA,"/w"
"Lesotho","This Is Not a Burial, It's a Resurrection[72]","This Is Not a Burial, It's a Resurrection","Sotho","Lemohang Jeremiah Mosese","Not nominated",NA,NA,"/w"
"Lithuania","Nova Lituania[73]","Nova Lituania","Lithuanian","Karolis Kaupinis","Not nominated",NA,NA,"/w"
"Luxembourg","River Tales[74]","Cuentos del río","Spanish","Julie Schroell","Not nominated",NA,NA,"/w"
"Malaysia","Roh[75]","Roh","Malay","Emir Ezwan","Not nominated",NA,NA,"/w"
"Mexico","I'm No Longer Here[76]","Ya no estoy aquí","Spanish","Fernando Frías de la Parra","Made shortlist[11]",NA,NA,"/w"
"Mongolia","Veins of the World[6]","Die Adern der Welt","Mongolian","Byambasuren Davaa","Not nominated",NA,NA,"/w"
"Montenegro","Breasts[77]","Grudi","Montenegrin","Marija Perović","Not nominated",NA,NA,"/w"
"Morocco","The Unknown Saint[78]","القديس المجهول","Arabic","Alaa Eddine Aljem","Not nominated",NA,NA,"/w"
"Netherlands","Buladó[79]","Buladó","Papiamento","Éche Janga","Not nominated",NA,NA,"/w"
"Nigeria","The Milkmaid[80]","The Milkmaid","Hausa","Desmond Ovbiagele","Not nominated",NA,NA,"/w"
"North Macedonia","Willow[81]","Врба (Vrba)","Macedonian","Milcho Manchevski","Not nominated",NA,NA,"/w"
"Norway","Hope[82]","Håp","Norwegian, Swedish","Maria Sødahl","Made shortlist[11]",NA,NA,"/w"
"Pakistan","Circus of Life[83]","Zindagi Tamasha","Urdu, Punjabi","Sarmad Khoosat","Not nominated",NA,NA,"/w"
"Palestine","Gaza mon amour[84]","غزة حبيبتي","Arabic","Tarzan Nasser and Arab Nasser","Not nominated",NA,NA,"/w"
"Panama","Operation Just Cause[85]","Operación Causa Justa","Spanish","Luis Franco Brantley and Luis Pacheco","Not nominated",NA,NA,"/w"
"Paraguay","Killing the Dead[86]","Matar a un muerto","Guarani, Spanish","Hugo Giménez","Not nominated",NA,NA,"/w"
"Peru","Song Without a Name[87]","Canción sin nombre","Quechua, Spanish","Melina León","Not nominated",NA,NA,"/w"
"Philippines","Mindanao[88]","Mindanao","Filipino","Brillante Mendoza","Not nominated",NA,NA,"/w"
"Poland","Never Gonna Snow Again[89]","Śniegu już nigdy nie będzie","French, Polish, Russian, Vietnamese","Małgorzata Szumowska and Michał Englert","Not nominated",NA,NA,"/w"
"Portugal","Vitalina Varela[90]","Vitalina Varela","Cape Verdean Creole, Portuguese","Pedro Costa","Not nominated",NA,NA,"/w"
"Romania","Collective[91]","Colectiv","Romanian","Alexander Nanau","Nominated[14]",NA,NA,"/w"
"Russia","Dear Comrades![92]","Дорогие товарищи! (Dorogie tovarishchi!)","Russian","Andrei Konchalovsky","Made shortlist[11]",NA,NA,"/w"
"Saudi Arabia","Scales[93]","سيدة البحر","Arabic","Shahad Ameen","Not nominated",NA,NA,"/w"
"Senegal","Nafi's Father[94]","Baamum Nafi","Fulah","Mamadou Dia","Not nominated",NA,NA,"/w"
"Serbia","Dara of Jasenovac[95]","Дара из Јасеновца (Dara iz Jasenovca)","Serbian, Croatian","Predrag Antonijević","Not nominated",NA,NA,"/w"
"Singapore","Wet Season[96]","热带雨","English, Hokkien, Mandarin","Anthony Chen","Not nominated",NA,NA,"/w"
"Slovakia","The Auschwitz Report[97]","Správa","Czech, German, Polish, Slovak","Peter Bebjak","Not nominated",NA,NA,"/w"
"Slovenia","Stories from the Chestnut Woods[98]","Zgodbe iz kostanjevih gozdov","Italian, Slovenian","Gregor Božič","Not nominated",NA,NA,"/w"
"South Africa","Toorbos[99]","Toorbos","Afrikaans","Rene van Rooyen","Not nominated",NA,NA,"/w"
"South Korea","The Man Standing Next[100]","남산의 부장들 (Namsanui bujangdeul)","Korean","Woo Min-ho","Not nominated",NA,NA,"/w"
"Spain","The Endless Trench[101]","La trinchera infinita","Spanish","Jon Garaño, Aitor Arregi and Jose Mari Goenaga","Not nominated",NA,NA,"/w"
"Sudan","You Will Die at Twenty[102]","ستموت في العشرين","Arabic","Amjad Abu Alala","Not nominated",NA,NA,"/w"
"Suriname","Wiren[103]","Wiren","Dutch, English, Sarnami Hindustani, Sranan Tongo, Surinamese Sign Language","Ivan Tai-Apin","Not nominated",NA,NA,"/w"
"Sweden","Charter[104]","Charter","Swedish","Amanda Kernell","Not nominated",NA,NA,"/w"
"Switzerland","My Little Sister[105]","Schwesterlein","English, French, German","Stéphanie Chuat and Véronique Reymond","Not nominated",NA,NA,"/w"
"Taiwan","A Sun[106]","陽光普照 (Yángguāng Pǔzhào)","Mandarin","Chung Mong-hong","Made shortlist[11]",NA,NA,"/w"
"Thailand","Happy Old Year[107]","ฮาวทูทิ้ง ทิ้งอย่างไรไม่ให้เหลือเธอ""","Thai","Nawapol Thamrongrattanarit","Not nominated",NA,NA,"/w"
"Tunisia","The Man Who Sold His Skin[108]","L'Homme qui a vendu sa peau","Arabic, English, French","Kaouther Ben Hania","Nominated[14]",NA,NA,"/w"
"Turkey","Miracle in Cell No. 7[109]","7. Koğuştaki Mucize","Turkish","Mehmet Ada Öztekin","Not nominated",NA,NA,"/w"
"Ukraine","Atlantis[110]","Атлантида (Atlantyda)","Ukrainian","Valentyn Vasyanovych","Not nominated",NA,NA,"/w"
"Uruguay","Alelí[111]","Alelí","Spanish","Leticia Jorge","Not nominated",NA,NA,"/w"
"Uzbekistan","2000 Songs of Farida[112]","Faridaning Ikki Ming qo'shig'i","Uzbek","Yalkin Tuychiev","Disqualified[113]",NA,NA,"/w"
"Venezuela","Once Upon a Time in Venezuela[114]","Érase Una Vez en Venezuela, Congo Mirador","Spanish","Anabel Rodríguez Ríos","Not nominated",NA,NA,"/w"
"Vietnam","Dreamy Eyes[115]","Mắt biếc","Vietnamese","Victor Vu","Not nominated",NA,NA,"/w"
"Albania","Two Lions to Venice[13]","Dy Luanë drejt Venecias","Albanian, Italian","Jonid Jorgji","Not nominated",NA,NA,"/w"
"Algeria","Héliopolis[14]","(هليوبوليس) (Haliyūbūlīs)","Algerian Arabic, French","Djafar Gacem","Not nominated",NA,NA,"/w"
"Argentina","The Intruder[15]","El Prófugo","Spanish","Natalia Meta","Not nominated",NA,NA,"/w"
"Armenia","Should the Wind Drop[16]","Երբ որ քամին հանդարտվի","French, Armenian, English, Russian","Nora Martirosyan","Not nominated",NA,NA,"/w"
"Australia","When Pomegranates Howl[17]","When Pomegranates Howl","Pashto, Persian","Granaz Moussavi","Not nominated",NA,NA,"/w"
"Austria","Great Freedom[18]","Große Freiheit","German","Sebastian Meise","Made shortlist[10]",NA,NA,"/w"
"Azerbaijan","The Island Within[19]","Daxildəki Ada","Azerbaijani","Ru Hasanov","Not nominated",NA,NA,"/w"
"Bangladesh","Rehana[20]","রেহানা মরিয়ম নূর (Rehana Maryam Noor)","Bengali","Abdullah Mohammad Saad","Not nominated",NA,NA,"/w"
"Belgium","Playground[21]","Un monde","French","Laura Wandel","Made shortlist[10]",NA,NA,"/w"
"Bhutan","Lunana: A Yak in the Classroom[6]","লুনানা","Dzongkha","Pawo Choyning Dorji","Nominated[12]",NA,NA,"/w"
"Bolivia","The Great Movement[22]","El Gran Movimiento","Spanish","Kiro Russo","Not nominated",NA,NA,"/w"
"Bosnia and Herzegovina","The White Fortress[23]","Tabija","Bosnian, English","Igor Drljaca","Not nominated",NA,NA,"/w"
"Brazil","Private Desert[24]","Deserto Particular","Portuguese","Aly Muritiba","Not nominated",NA,NA,"/w"
"Bulgaria","Fear[25]","Страх (Strah)","Bulgarian","Ivaylo Hristov","Not nominated",NA,NA,"/w"
"Cambodia","White Building[26]","ប៊ូឌីញ ស","Khmer","Kavich Neang","Not nominated",NA,NA,"/w"
"Cameroon","Hidden Dreams[27]","Rêves cachés","English, French","Ngang Romanus","Not nominated",NA,NA,"/w"
"Canada","Drunken Birds[28]","Les Oiseaux ivres","French, Spanish","Ivan Grbovic","Not nominated",NA,NA,"/w"
"Chad","Lingui, The Sacred Bonds[6]","Lingui, les liens sacrés","French, Chadian Arabic","Mahamat-Saleh Haroun","Not nominated",NA,NA,"/w"
"Chile","White on White[29]","Blanco en blanco","Spanish","Theo Court","Not nominated",NA,NA,"/w"
"China","Cliff Walkers[30]","悬崖之上 (Xuan ya zhi shang)","Mandarin","Zhang Yimou","Not nominated",NA,NA,"/w"
"Colombia","Memoria[31]","Memoria","Spanish, English","Apichatpong Weerasethakul","Not nominated",NA,NA,"/w"
"Costa Rica","Clara Sola[32]","Clara Sola","Spanish","Nathalie Álvarez Mesén","Not nominated",NA,NA,"/w"
"Croatia","Tereza37[33]","Tereza37","Croatian","Danilo Šerbedžija","Not nominated",NA,NA,"/w"
"Czech Republic","Zátopek[34]","Zátopek","Czech","David Ondříček","Not nominated",NA,NA,"/w"
"Denmark","Flee[35]","Flugt","Danish, English","Jonas Poher Rasmussen","Nominated[12]",NA,NA,"/w"
"Dominican Republic","Holy Beasts[36]","La Fiera y la Fiesta","Spanish","Laura Amelia Guzmán, Israel Cárdenas","Not nominated",NA,NA,"/w"
"Ecuador","Submersible[37]","Sumergible","Spanish","Alfredo León León","Not nominated",NA,NA,"/w"
"Egypt","Souad[38]","سعاد","Arabic","Ayten Amin","Not nominated",NA,NA,"/w"
"Estonia","On the Water[39]","Vee peal","Estonian","Peeter Simm","Not nominated",NA,NA,"/w"
"Finland","Compartment No. 6[40]","Hytti nro 6","Finnish, Russian","Juho Kuosmanen","Made shortlist[10]",NA,NA,"/w"
"France","Titane[41]","Titane","French","Julia Ducournau","Not nominated",NA,NA,"/w"
"Georgia","Brighton 4th[42]","მეოთხე ბრაიტონი","Georgian, English, Russian","Levan Koguashvili","Not nominated",NA,NA,"/w"
"Germany","I'm Your Man[43]","Ich bin dein Mensch","German","Maria Schrader","Made shortlist[10]",NA,NA,"/w"
"Greece","Digger[44]","Digger","Greek","Georgis Grigorakis","Not nominated",NA,NA,"/w"
"Haiti","Freda[45]","Freda","Haitian Creole","Gessica Généus","Not nominated",NA,NA,"/w"
"Hong Kong","Zero to Hero[46]","媽媽的神奇小子","Cantonese","Jimmy Wan","Not nominated",NA,NA,"/w"
"Hungary","Post Mortem[47]","Post Mortem","Hungarian, German","Péter Bergendy","Not nominated",NA,NA,"/w"
"Iceland","Lamb[48]","Dýrið","Icelandic","Valdimar Jóhannsson","Made shortlist[10]",NA,NA,"/w"
"India","Pebbles[49]","கூழாங்கல் (Koozhangal)","Tamil","P.S. Vinothraj","Not nominated",NA,NA,"/w"
"Indonesia","Yuni[50]","Yuni","Indonesian, Serang-Javanese","Kamila Andini","Not nominated",NA,NA,"/w"
"Iran","A Hero[51]","قهرمان","Persian","Asghar Farhadi","Made shortlist[10]",NA,NA,"/w"
"Iraq","Europa[52]","أوروبا","Arabic, Bulgarian, English","Haider Rashid","Not nominated",NA,NA,"/w"
"Ireland","Foscadh[53]","Foscadh","Irish","Seán Breathnach","Not nominated",NA,NA,"/w"
"Israel","Let It Be Morning[54]","ויהי בוקר, ليكن صباحا","Arabic, Hebrew","Eran Kolirin","Not nominated",NA,NA,"/w"
"Italy","The Hand of God[55]","È stata la mano di Dio","Italian","Paolo Sorrentino","Nominated[12]",NA,NA,"/w"
"Japan","Drive My Car[56]","ドライブ・マイ・カー","Japanese","Ryusuke Hamaguchi","Nominated[12]",NA,NA,"/w"
"Jordan","Amira[57]","Amira","Arabic","Mohamed Diab","Withdrawn[9]",NA,NA,"/w"
"Kazakhstan","Yellow Cat[58]","Сары мысық","Kazakh, Russian","Adilkhan Yerzhanov","Not nominated",NA,NA,"/w"
"Kenya","Mission to Rescue[59]","Mission to Rescue","Swahili","Gilbert Lukalia","Not nominated",NA,NA,"/w"
"Kosovo","Hive[60]","Zgjoi","Albanian","Blerta Basholli","Made shortlist[10]",NA,NA,"/w"
"Kyrgyzstan","Shambala[61]","Шамбала","Kyrgyz, English","Artykpai Suyundukov","Not nominated",NA,NA,"/w"
"Latvia","The Pit[62]","Bedre","Latvian","Dace Pūce","Not nominated",NA,NA,"/w"
"Lebanon","Costa Brava, Lebanon[63]","كوستابرافا","Arabic","Mounia Akl","Not nominated",NA,NA,"/w"
"Lithuania","Isaac[64]","Izaokas","Lithuanian, German, Russian","Jurgis Matulevičius","Not nominated",NA,NA,"/w"
"Luxembourg","Io sto bene[65]","Io sto bene","Italian, French, Luxembourgish","Donato Rotunno","Not nominated",NA,NA,"/w"
"Malawi","Fatsani: A Tale of Survival[66]","Fatsani","English, Nyanja","Gift Sukez Sukali","Not nominated",NA,NA,"/w"
"Malaysia","Hail, Driver![67]","Prebet Sapu","Malay, Mandarin","Muzzamer Rahman","Not nominated",NA,NA,"/w"
"Malta","Luzzu[68]","Luzzu","Maltese","Alex Camilleri","Not nominated",NA,NA,"/w"
"Mexico","Prayers for the Stolen[69]","Noche de fuego","Spanish","Tatiana Huezo","Made shortlist[10]",NA,NA,"/w"
"Montenegro","After the Winter[70]","Poslije zime","Serbo-Croatian","Ivan Bakrač","Not nominated",NA,NA,"/w"
"Morocco","Casablanca Beats[71]","علّي صوتك","Arabic","Nabil Ayouch","Not nominated",NA,NA,"/w"
"Netherlands","Do Not Hesitate[72]","Do Not Hesitate","Dutch, English, Arabic","Shariff Korver","Not nominated",NA,NA,"/w"
"North Macedonia","Sisterhood[73]","Сестри (Sestri)","Macedonian","Dina Duma","Not nominated",NA,NA,"/w"
"Norway","The Worst Person in the World[74]","Verdens verste menneske","Norwegian","Joachim Trier","Nominated[12]",NA,NA,"/w"
"Palestine","The Stranger[75]","الغريب (Al Garib)","Arabic","Ameer Fakher Eldin","Not nominated",NA,NA,"/w"
"Panama","Plaza Catedral[76]","Plaza Catedral","Spanish","Abner Benaim","Made shortlist[10]",NA,NA,"/w"
"Paraguay","Nothing but the Sun[77]","Apenas el Sol","Ayoreo, Spanish","Arami Ullón","Not nominated",NA,NA,"/w"
"Peru","Powerful Chief[78]","Manco Cápac","Spanish, Quechua","Henry Vallejo","Not nominated",NA,NA,"/w"
"Poland","Leave No Traces[79]","Żeby nie było śladów","Polish","Jan P. Matuszyński","Not nominated",NA,NA,"/w"
"Portugal","The Metamorphosis of Birds[80]","A Metamorfose dos Pássaros","Portuguese","Catarina Vasconcelos","Not nominated",NA,NA,"/w"
"Romania","Bad Luck Banging or Loony Porn[81]","Babardeală cu bucluc sau porno balamuc","Romanian","Radu Jude","Not nominated",NA,NA,"/w"
"Russia","Unclenching the Fists[82]","Разжимая кулаки (Razzhimaya kulaki)","Ossetian","Kira Kovalenko","Not nominated",NA,NA,"/w"
"Saudi Arabia","The Tambour of Retribution[83]","حد الطار (Had Al Tar)","Arabic","Abdulaziz Alshlahei","Not nominated",NA,NA,"/w"
"Serbia","Oasis[84]","Оаза","Serbian","Ivan Ikić","Not nominated",NA,NA,"/w"
"Singapore","Precious Is the Night[85]","今宵多珍重","Mandarin","Wayne Peng","Not nominated",NA,NA,"/w"
"Slovakia","107 Mothers[86]","Cenzorka","Slovak, Ukrainian, Russian","Péter Kerekes","Not nominated",NA,NA,"/w"
"Slovenia","Sanremo[87]","Sanremo","Slovenian","Miroslav Mandić","Not nominated",NA,NA,"/w"
"Somalia","The Gravedigger's Wife[88]","The Gravedigger's Wife","Somali","Khadar Ayderus Ahmed","Not nominated",NA,NA,"/w"
"South Africa","Barakat[89]","Barakat","Afrikaans, English","Amy Jephta","Not nominated",NA,NA,"/w"
"South Korea","Escape from Mogadishu[90]","모가디슈","Korean, English, Somali, Arabic","Ryoo Seung-wan","Not nominated",NA,NA,"/w"
"Spain","The Good Boss[91]","El buen patrón","Spanish","Fernando León de Aranoa","Made shortlist[10]",NA,NA,"/w"
"Sweden","Tigers[92]","Tigrar","English, Swedish, Italian","Ronnie Sandahl","Not nominated",NA,NA,"/w"
"Switzerland","Olga[93]","Olga","French, Ukrainian","Elie Grappe","Not nominated",NA,NA,"/w"
"Taiwan","The Falls[94]","瀑布","Mandarin","Chung Mong-hong","Not nominated",NA,NA,"/w"
"Thailand","The Medium[95]","ร่างทรง (Rang Song)","Isan, Thai","Banjong Pisanthanakun","Not nominated",NA,NA,"/w"
"Tunisia","Golden Butterfly[96]","فرططو الذهب (Papillon d'Or)","Arabic, French","Abdelhamid Bouchnak","Not nominated",NA,NA,"/w"
